BusinessEntityID,PersonType,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,AdditionalContactInfo,Demographics,rowguid,ModifiedDate,Full_name
3,EM,False,,Roberto,,Tamburello,,0,,,{E1A2555E-0828-434B-A33B-6F38136A37DE},2007-11-04 00:00:00,Roberto - Tamburello
4,EM,False,,Rob,,Walters,,0,,,{F2D7CE06-38B3-4357-805B-F4B6B71C01FF},2007-11-28 00:00:00,Rob - Walters
10,EM,False,,Michael,,Raheem,,2,,,{CA2C740E-75B2-420C-9D4B-E3CBC6609604},2009-04-26 00:00:00,Michael - Raheem
41,EM,False,,Bryan,,Baker,,0,,,{A32E8274-08DC-4596-AB1F-BA6263CBC676},2009-01-14 00:00:00,Bryan - Baker
94,EM,False,,Russell,,Hunter,,1,,,{288EF549-203C-439C-A6B2-32FD822327FF},2008-12-05 00:00:00,Russell - Hunter
99,EM,False,,Nuan,,Yu,,0,,,{938FCD64-E06D-453C-9E70-BFE41753557B},2008-12-30 00:00:00,Nuan - Yu
134,EM,False,,Eric,,Gubbels,,2,,,{4A9AC912-9E22-47B7-B126-5F3B576A430E},2009-01-07 00:00:00,Eric - Gubbels
143,EM,False,,Krishna,,Sunkammurali,,2,,,{442C8270-1E84-47C5-A621-AF10CF1B3546},2010-02-06 00:00:00,Krishna - Sunkammurali
146,EM,False,,Jian Shuo,,Wang,,0,,,{009EBB72-9173-4AA9-920E-B578F3C927DE},2008-11-30 00:00:00,Jian Shuo - Wang
147,EM,False,,Sandra,,Reátegui Alayo,,0,,,{B07FA8A6-A056-48AB-91F8-318C6C87B502},2008-12-19 00:00:00,Sandra - Reátegui Alayo
222,EM,False,,A. Scott,,Wright,,0,,,{90CC98B7-6054-4AB5-844E-3ECCB8A73070},2008-12-05 00:00:00,A. Scott - Wright
277,SP,False,,Jillian,,Carson,,1,,,{3C407F7D-2EA1-4749-8856-8C8EECF23AEA},2011-05-24 00:00:00,Jillian - Carson
291,SC,False,Mr.,Gustavo,,Achong,,2,,,{D4C132D3-FCB5-4231-9DD5-888A54BEC693},2015-04-15 16:33:33.060000000,Gustavo - Achong
295,SC,False,Ms.,Kim,,Abercrombie,,0,,,{F7CBDB48-0B44-470E-9F37-7060446FBFB9},2015-04-15 16:33:33.077000000,Kim - Abercrombie
297,SC,False,Sr.,Humberto,,Acevedo,,2,,,{5A41D336-84CF-44D7-B12B-83B64B511F7E},2015-04-15 16:33:33.090000000,Humberto - Acevedo
299,SC,False,Sra.,Pilar,,Ackerman,,0,,,{DF1FB8AB-2323-4330-9AB8-54E13CE6D8F9},2015-04-15 16:33:33.090000000,Pilar - Ackerman
307,SC,False,Mr.,Jay,,Adams,,1,,,{38256645-4B88-4169-B68A-5B0118F18445},2015-04-15 16:33:33.123000000,Jay - Adams
317,SC,False,Mr.,François,,Ferrier,,1,,,{B50C8DCD-EA86-43A5-AF69-84B7A6A7FAF9},2011-05-31 00:00:00,François - Ferrier
